product;sourceService;targetService;protocol;port;description
VBR;Backup proxy;Infinidat InfiniGuard;TCP;2500 to 3300;Default range of ports used for communication with the backup proxy. Note: This range of ports applies to newly installed Veeam Backup & Replication starting from version 10.0, without upgrade from previous versions. If you have upgraded from an earlier version of the product, the range of ports from 2500 to 5000 applies to the already added components.
VBR;Backup server;Veeam Data Cloud Vault;TCP;443;Used to communicate with the Microsoft Azure object storage through the following endpoints: <storage-account>.blob.core.windows.net <storage-account>.blob.storage.azure.net Consider that the <storage-account> part of the address must be replaced with the location name of your storage account. You can find the location name in the Cloud Management > Vault Subscriptions section of your Veeam Data Cloud account.
VBR;Backup server;Veeam Data Cloud Vault;TCP;80;Used to verify the certificate status through the following endpoints: ocsp.digicert.com ocsp.msocsp.com Consider that certificate verification endpoints (CRL URLs and OCSP servers) are subject to change. You can find the actual list of addresses in the certificate details in the following fields: CRL Distribution Points Authority Information Access For more details, see also this Microsoft article.
VBR;Backup proxy (direct connection)/Gateway server;Veeam Data Cloud Vault;TCP;443;Used to communicate with the Microsoft Azure object storage through the following endpoints: <storage-account>.blob.core.windows.net <storage-account>.blob.storage.azure.net Consider that the <storage-account> part of the address must be replaced with the location name of your storage account. You can find the location name in the Cloud Management > Vault Subscriptions section of your Veeam Data Cloud account.
VBR;Backup proxy (direct connection)/Gateway server;Veeam Data Cloud Vault;TCP;80;Used to verify the certificate status through the following endpoints: ocsp.digicert.com ocsp.msocsp.com Consider that certificate verification endpoints (CRL URLs and OCSP servers) are subject to change. You can find the actual list of addresses in the certificate details in the following fields: CRL Distribution Points Authority Information Access For more details, see also this Microsoft article.
VBR;Gateway server;Backup proxy (direct connection)/Gateway server or backup server;TCP;2500 to 3300;Default range of ports used as transmission channels. For every TCP connection that a job uses, one port from this range is assigned. Note: This range of ports applies to newly installed Veeam Backup & Replication starting from version 10.0, without upgrade from previous versions. If you have upgraded from an earlier version of the product, the range of ports from 2500 to 5000 applies to the already added components.
VBR;Gateway server;Backup proxy (direct connection)/Gateway server or backup server;TCP;2500 to 3300;Default range of ports used as transmission channels. For every TCP connection that a job uses, one port from this range is assigned. Note: This range of ports applies to newly installed Veeam Backup & Replication starting from version 10.0, without upgrade from previous versions. If you have upgraded from an earlier version of the product, the range of ports from 2500 to 5000 applies to the already added components.
VBR;Backup proxy (direct connection)/Gateway server or backup server;Amazon S3 object storage;TCP;443;Used to communicate with the Amazon S3 object storage through the following endpoints: *.amazonaws.com (for both Global and Government regions) *.amazonaws.com.cn (for China region) All AWS service endpoints are specified in the AWS documentation.
VBR;Backup proxy (direct connection)/Gateway server or backup server;Amazon S3 object storage;TCP;80;Used to verify the certificate status through the following endpoints: *.amazontrust.com Consider that certificate verification endpoints (CRL URLs and OCSP servers) are subject to change. You can find the actual list of addresses in the certificate details in the following fields: CRL Distribution Points Authority Information Access
VBR;Backup proxy (direct connection)/Gateway server or backup server;Microsoft Azure object storage;TCP;443;Used to communicate with the Microsoft Azure object storage through the following endpoints: <storage-account>.blob.core.windows.net (for Global region) <storage-account>.blob.storage.azure.net (for Global region) <storage-account>.blob.core.chinacloudapi.cn (for China region) <storage-account>.blob.core.usgovcloudapi.net (for Government region) Consider that the <storage-account> part of the address must be replaced with your actual storage account URL that can be found in the Azure management portal.
