product;sourceService;targetService;protocol;port;description
VBR;Backup server;Veeam License Update Server;TCP;443;Default port used to automatically update license from the Veeam License Update Server over HTTPS. Veeam Threat Hunter and Veeam Data Cloud Vault also require this communication to work properly. Veeam License Update Server endpoints: vbr.butler.veeam.com autolk.veeam.com
VBR;Backup server;Veeam License Update Server;TCP;80;Required for certificate validation when Veeam Backup & Replication connects to Veeam License Update Server to check if the new license is available and download it. Certificate verification endpoints: *.ss2.us *.amazontrust.com Consider that certificate verification endpoints (CRL URLs and OCSP servers) are subject to change. You can find the actual list of addresses in the certificate details in the following fields: CRL Distribution Points Authority Information Access
VBR;Backup server;Certificate Revocation Lists;TCP;80 or 443;Veeam Backup & Replication requires access to the Certificate Revocation Lists (CRL) of the Certificate Authority (CA) that issued the certificate for each backup infrastructure component. Note : The specific CRL endpoint that must be connected to depends on the CA that issued the certificate. You can find the actual list of addresses in the certificate details in the following fields: CRL Distribution Points Authority Information Access
VBR;Backup server;KMS server;TCP;5696;Default port used for communication with Key Management System server.
VBR;Backup server;Veeam ONE Server;TCP;2741;Default port used for communication with Veeam ONE internal Web API. Required for the Analytics view. For more information, see Configuring Analytics View.
VBR;Backup server;Veeam ONE Web Services;TCP;1239;Default port used by Veeam ONE Web Services. Required for the Analytics view. For more information, see Configuring Analytics View.
VBR;Backup server;Backup server;TCP;9501 (local);Port used locally on the backup server for communication between Veeam Broker Service and Veeam services and components. Note : Local ports do not require specific firewall rules. Make sure that this port is not used by another software. Otherwise, this can affect Veeam Backup & Replication functionality.
VBR;Backup server;Backup server;TCP;6172 (local);Port used to provide REST access to the Veeam Backup & Replication database. Note : Local ports do not require specific firewall rules. Make sure that this port is not used by another software. Otherwise, this can affect Veeam Backup & Replication functionality.
VBR;Backup server;Backup server;TCP;9393 (local);Default port used by the Veeam Guest Catalog service for catalog replication. Can be customized during Veeam Backup & Replication installation. Note : Local ports do not require specific firewall rules. Make sure that this port is not used by another software. Otherwise, this can affect Veeam Backup & Replication functionality.
VBR;Management client PC (remote access);Backup server;TCP;3389;Default port used by Remote Desktop Services. If you use third-party solutions to connect to the backup server, other ports may need to be open.
VBR;REST client;Backup server;TCP;9419;Default port for communication with REST API service.
VBR;Veeam Backup & Replication console;Backup server;TCP;9392 9420;Ports used by the Veeam Backup & Replication console to communicate with the backup server. Note that both ports are required.
